INFO:proto.runtime:starting compilation -- Time == 1447938723855
INFO:proto.runtime:compilation finished -- Time == 1447938723963
INFO:proto.runtime:compilation DURATION == 108
INFO:core:POX 0.2.0 (carp) is up.
INFO:openflow.discovery:link detected: 00-00-00-00-00-01.1 -> 00-00-00-00-00-02.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-02.3 -> 00-00-00-00-00-01.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-02.1 -> 00-00-00-00-00-03.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-02.2 -> 00-00-00-00-00-12.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-03.3 -> 00-00-00-00-00-02.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-03.1 -> 00-00-00-00-00-04.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-03.2 -> 00-00-00-00-00-0b.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-04.3 -> 00-00-00-00-00-03.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-04.1 -> 00-00-00-00-00-05.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-04.2 -> 00-00-00-00-00-08.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-05.3 -> 00-00-00-00-00-04.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-05.1 -> 00-00-00-00-00-06.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-05.2 -> 00-00-00-00-00-07.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-06.1 -> 00-00-00-00-00-05.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-07.1 -> 00-00-00-00-00-05.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-08.3 -> 00-00-00-00-00-04.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-08.1 -> 00-00-00-00-00-09.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-08.2 -> 00-00-00-00-00-0a.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-09.1 -> 00-00-00-00-00-08.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-0a.1 -> 00-00-00-00-00-08.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-0b.3 -> 00-00-00-00-00-03.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-0b.1 -> 00-00-00-00-00-0c.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-0b.2 -> 00-00-00-00-00-0f.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-0c.3 -> 00-00-00-00-00-0b.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-0c.1 -> 00-00-00-00-00-0d.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-0c.2 -> 00-00-00-00-00-0e.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-0d.1 -> 00-00-00-00-00-0c.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-0e.1 -> 00-00-00-00-00-0c.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-0f.3 -> 00-00-00-00-00-0b.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-0f.1 -> 00-00-00-00-00-10.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-0f.2 -> 00-00-00-00-00-11.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-10.1 -> 00-00-00-00-00-0f.1
